player,team,xG,goals,shots,xG_per_shot,finishing_diff,shots_per_match
Abraham González Casanova,Espanyol,2.528852787,1,16,0.1580532991875,-1.528852787,1.6
Abraham Paz Cruz,Hércules,0.1867883,0,1,0.1867883,-0.1867883,0.1
Absalom Iimbondi,Namibia,0.58510506,0,1,0.58510506,-0.58510506,0.1
Achille Emaná Edzimbi,Real Betis,0.34755589,0,4,0.0868889725,-0.34755589,0.4
Achraf Dari,Morocco,0.28079134,1,1,0.28079134,0.71920866,0.1
Achraf Hakimi Mouh,Morocco,1.979490798,2,12,0.1649575665,0.02050920199999995,1.2
Achraf Hakimi Mouh,Paris Saint-Germain,3.068701033,6,25,0.12274804132,2.931298967,2.5
Achraf Lazaar,Palermo,0.648642218,1,29,0.02236697303448276,0.351357782,2.9
Ada Stolsmo Hegerberg,Norway Women's,4.445863159,2,22,0.20208468904545454,-2.445863159,2.2
Adalberto Eliécer Carrasquilla Alcázar,Panama,0.039302887,0,2,0.0196514435,-0.039302887,0.2
Adalberto Peñaranda Maestre,Granada,1.631230951,5,22,0.07414686140909091,3.368769049,2.2
Adalberto Peñaranda Maestre,Málaga,0.017125571,0,1,0.017125571,-0.017125571,0.1
Adam Buksa,Poland,0.15053249600000002,1,3,0.050177498666666674,0.8494675039999999,0.3
Adam David Lallana,Liverpool,3.882435354,4,43,0.09028919427906977,0.11756464599999994,4.3
Adam Gnezda Čerin,Slovenia,0.364443085,0,4,0.09111077125,-0.364443085,0.4
Adam Hloušek,VfB Stuttgart,0.079663016,0,1,0.079663016,-0.079663016,0.1
Adam Hložek,Bayer Leverkusen,3.00418568,2,19,0.1581150357894737,-1.00418568,1.9
Adam Hložek,Czech Republic,0.534609454,0,5,0.1069218908,-0.534609454,0.5
Adam Johnson,Sunderland,1.800137983,2,16,0.1125086239375,0.19986201700000006,1.6
Adam Masina,Bologna,1.4814815655,2,13,0.11396012042307692,0.5185184345,1.3
Adam Ounas,Algeria,0.059065524,0,2,0.029532762,-0.059065524,0.2
Adam Ounas,Bordeaux,3.099133335,5,44,0.07043484852272727,1.9008666650000001,4.4
Adam Smith,AFC Bournemouth,0.653601711,2,15,0.0435734474,1.3463982890000001,1.5
Adama Guira,Burkina Faso,0.045657467,0,1,0.045657467,-0.045657467,0.1
Adama Traoré,AS Monaco,0.326004996,0,5,0.0652009992,-0.326004996,0.5
Adama Traoré,Mali,1.025569095,0,6,0.1709281825,-1.025569095,0.6
Adama Traoré Diarra,Aston Villa,0.127577284,0,2,0.063788642,-0.127577284,0.2
Addisyn Merrick,KC Current,0.20044162399999998,0,2,0.10022081199999999,-0.20044162399999998,0.2
Adelina Engman,Chelsea FCW,1.264951306,2,7,0.18070732942857143,0.7350486940000001,0.7
Adelina Engman,WNT Finland,0.05041662,0,1,0.05041662,-0.05041662,0.1
Adelino André Vieira Freitas,Wolfsburg,2.262217712,1,28,0.08079348971428571,-1.262217712,2.8
Adem Ljajić,Inter Milan,3.599108782,3,39,0.09228484056410256,-0.5991087820000001,3.9
Adem Ljajić,Serbia,0.08284419,0,1,0.08284419,-0.08284419,0.1
Ademola Lookman,Nigeria,1.653924022,3,8,0.20674050275,1.346075978,0.8
Aderllan Leandro de Jesus Santos,Valencia,1.192823551,0,8,0.149102943875,-1.192823551,0.8
Adil Aouchiche,Saint-Étienne,0.198905746,0,2,0.099452873,-0.198905746,0.2
Adil Khan,East Bengal,0.130783286,0,2,0.065391643,-0.130783286,0.2
Adil Rami,Sevilla,1.920788435,0,16,0.1200492771875,-1.920788435,1.6
Adil Rami,Valencia,0.258593744,0,4,0.064648436,-0.258593744,0.4
Adlène Guédioura,Watford,0.429951627,0,13,0.033073202076923075,-0.429951627,1.3
Admir Mehmedi,Bayer Leverkusen,2.525026339,2,26,0.09711639765384615,-0.5250263390000001,2.6
Admir Mehmedi,Switzerland,0.8294590839999999,1,3,0.2764863613333333,0.1705409160000001,0.3
Adnan Januzaj,Belgium,0.123934706,1,3,0.041311568666666666,0.876065294,0.3
