team,xG_for,goals_for,shots,xG_per_shot,finishing_diff,attack_strength
CD Sporting de Huelva,22.029431319,20,241,0.09140842870954358,-2.0294313190000004,0.6501416086520263
Caen,8.7809113095,8,106,0.08283878593867924,-0.7809113095000004,0.25914585453984595
Cameroon,6.8575279815,8,65,0.10550043048461538,1.1424720185000004,0.20238217722050006
Cameroon W,4.318213293,3,43,0.10042356495348838,-1.3182132930000003,0.1274408810722321
Canada,19.767138559,12,109,0.18134989503669724,-7.767138558999999,0.5833758972303391
Canada Women's,12.3094737725,5,105,0.11723308354761905,-7.3094737725000005,0.3632822365782413
Cape Verde Islands,10.669551605499999,9,80,0.13336939506874998,-1.6695516054999988,0.31488418125495504
Carpi,42.9438185031,33,434,0.09894889056013824,-9.943818503099997,1.2673755776521543
Celta Vigo,67.7688442755,66,591,0.11466809522081219,-1.7688442755000011,2.000021915943051
Charlotte,0.882619195,1,11,0.08023810863636363,0.11738080500000003,0.02604821953663145
Charlton Athletic,1.9032248345,2,19,0.10016972813157894,0.09677516549999998,0.05616875159465012
Chelsea,63.5882040253,62,572,0.11116818885541958,-1.5882040253000014,1.8766411469117505
Chelsea FCW,221.576266782,222,1581,0.1401494413548387,0.4237332179999953,6.539249626499177
Chennaiyin,20.816620054,16,227,0.09170317204405287,-4.816620054000001,0.6143486253743177
Chicago Red Stars,37.282660968,36,315,0.11835765386666668,-1.2826609680000018,1.1003011755304781
Chievo,40.2995395215,42,431,0.09350241188283064,1.7004604784999984,1.1893365322529468
Chile,1.642694065,0,22,0.07466791204545455,-1.642694065,0.048479860713477374
Chile Women's,2.856028018,1,34,0.08400082405882353,-1.856028018,0.08428826977373226
China PR Women's,5.444196967,3,63,0.08641582487301587,-2.444196967,0.16067137288701167
Cincinnati,1.746769054,1,15,0.11645127026666667,-0.746769054,0.05155136445722329
Clermont Foot,4.769362399,4,29,0.16446077237931037,-0.7693623990000003,0.14075537844937447
Colombia,16.745249707,21,125,0.133961997656,4.254750293000001,0.49419267452443
Colombia Women's,4.8648839995,6,63,0.07722038094444444,1.1351160005,0.14357445108501365
Como W,30.221110768,28,307,0.09844010022149836,-2.221110767999999,0.8918978109531377
Congo DR,24.177088153,19,108,0.22386192734259258,-5.177088153,0.7135241376274797
Costa Adeje Tenerife,36.277515673,34,364,0.09966350459615386,-2.2775156730000035,1.070636915497733
Costa Rica,4.463311858,5,48,0.09298566370833333,0.536688142,0.1317230894096229
Costa Rica Women's,2.668356042,1,23,0.11601548008695653,-1.668356042,0.0787496174767794
Croatia,44.931920653,43,295,0.1523115954338983,-1.9319206529999988,1.3260492633766576
Crystal Palace,47.7015397015,38,477,0.10000322788574424,-9.701539701500003,1.4077873962167944
Czech Republic,10.875673398,9,100,0.10875673398,-1.875673398,0.32096733210046097
Czechoslovakia,2.847249667,1,32,0.08897655209375,-1.8472496669999998,0.08402919948009603
Cádiz,4.443836748,4,23,0.19321029339130433,-0.44383674799999984,0.13114833197895084
Córdoba CF,0.7223808270000001,0,13,0.05556775592307693,-0.7223808270000001,0.021319199126129795
Côte d'Ivoire,13.593638489,13,102,0.13327096557843138,-0.5936384889999999,0.4011810321699099
Darmstadt 98,40.6981277743,39,360,0.11305035492861111,-1.6981277742999978,1.2010998321816966
Denmark,24.7577231205,20,224,0.11052554964508929,-4.7577231205,0.7306600748354676
Denmark Women's,11.07834689,7,108,0.10257728601851852,-4.078346890000001,0.32694871528788616
Deportivo Alavés,7.6924149195,6,66,0.11655174120454545,-1.6924149195,0.227021702819408
Duisburg WFC,14.8687246225,16,178,0.0835321608005618,1.1312753774999997,0.43881189689807004
East Bengal,18.6379129688,18,226,0.08246864145486725,-0.6379129687999985,0.5500497286555531
Ecuador,12.007853599,10,84,0.14295063808333333,-2.0078535990000006,0.3543806983604997
Egypt,16.598683003999998,16,111,0.1495376847207207,-0.598683003999998,0.48986713789647995
Eibar,61.0244220985,53,542,0.11259118468357933,-8.024422098499997,1.8009777635957618
