team,xG_for,goals_for,shots,xG_per_shot,finishing_diff,attack_strength
Sweden Women's,59.0099951765,51,357,0.16529410413585433,-8.009995176499999,1.7415271704044855
Switzerland,32.9551589465,35,231,0.14266302574242423,2.044841053500001,0.9725861616945867
Switzerland Women's,11.021816978,10,108,0.10205386090740741,-1.0218169780000004,0.3252803813489642
TSV Bayer 04 Leverkusen,26.700958128,34,256,0.1043006176875,7.299041872,0.7880096230589545
Tanzania,0.64797449,1,12,0.05399787416666666,0.35202551000000004,0.019123288803680277
Tenerife,1.667175273,1,17,0.09806913370588236,-0.667175273,0.04920236016071174
Thailand W,0.766495921,1,13,0.05896122469230769,0.23350407900000003,0.02262114186644277
Torino,50.9523931805,49,478,0.10659496481276151,-1.9523931805000032,1.5037279168650157
Toronto FC,0.942207845,0,8,0.117775980625,-0.942207845,0.027806824205422378
Tottenham Hotspur,65.9920694365,71,693,0.09522665142352092,5.007930563499997,1.9475850084572186
Tottenham Hotspur Women,73.3119233575,61,687,0.10671313443595343,-12.311923357500007,2.1636115383473604
Toulouse,52.0003960435,44,463,0.11231187050431965,-8.000396043499997,1.5346570070152046
Troyes,36.121793083,30,458,0.07886854384934498,-6.121793083,1.0660411665789336
Tunisia,10.5308207745,7,95,0.11085074499473685,-3.5308207745000004,0.3107899000939983
Turkey,10.506677627,9,113,0.09297944802654867,-1.5066776270000002,0.31007737762683707
Udinese,47.964202147099996,34,454,0.10564802235044052,-13.964202147099996,1.4155391979969687
Ukraine,9.4079553895,8,91,0.10338412515934066,-1.4079553894999997,0.27765143650261426
Union Berlin,0.5673936645,0,11,0.05158124222727272,-0.5673936645,0.016745154445218936
United States,8.452179419,6,80,0.1056522427375,-2.452179419,0.2494441842148131
United States Women's,35.173536284,33,223,0.1577288622600897,-2.1735362840000008,1.0380558231631298
Uruguay,26.977803941,28,208,0.12970098048557693,1.0221960589999988,0.796180010192696
Utah Royals,9.353037092,10,87,0.10750617347126436,0.6469629080000008,0.2760306651915416
Valencia,76.8490001175,72,659,0.11661456770485584,-4.8490001174999975,2.267999197809488
Valencia CF,37.9008863175,35,388,0.09768269669458764,-2.900886317500003,1.1185464955032516
Venezuela,10.134966182,10,62,0.16346719648387095,-0.13496618199999943,0.29910727706876056
VfB Stuttgart,58.024048802,52,532,0.10906776090601504,-6.024048802000003,1.712429516784657
VfL Wolfsburg WFC,56.5510093325,66,430,0.13151397519186048,9.448990667499999,1.6689565720481003
Vietnam Women's,0.5463978549999999,0,10,0.054639785499999996,-0.5463978549999999,0.016125517507450667
Villarreal,78.389338343,93,773,0.10140923459637775,14.610661656999994,2.3134582910240757
WNT Finland,3.73356174,4,50,0.0746712348,0.26643826000000015,0.11018640474625946
Wales,6.798000053,4,63,0.10790476274603175,-2.798000053,0.20062536458951158
Wales W,2.5161453799999998,2,17,0.14800855176470587,-0.5161453799999998,0.07425751401692658
Washington Spirit,45.539174085,28,394,0.1155816601142132,-17.539174085,1.3439707756219346
Watford,44.4081113255,36,450,0.09868469183444445,-8.408111325500002,1.3105903877535696
Werder Bremen,51.959255352,49,460,0.11295490293913044,-2.9592553519999996,1.533442846060909
West Bromwich Albion,43.0791425385,32,396,0.10878571348106061,-11.079142538500001,1.2713693160646553
West Ham United,56.2388844358,64,559,0.10060623333774597,7.761115564199997,1.659745014132583
West Ham United LFC,98.1821031265,82,815,0.12046883819202453,-16.182103126499996,2.8975904798980276
Wolfsburg,50.652705691,47,515,0.09835476833203884,-3.6527056910000013,1.4948834168098386
Wolverhampton Wanderers,1.257564796,1,20,0.0628782398,-0.25756479600000004,0.03711376783251031
Xerez,1.126552331,1,15,0.07510348873333333,-0.12655233100000007,0.033247274253300034
Yeovil Town LFC,12.6859905565,10,129,0.09834101206589148,-2.6859905565,0.37439415427096545
Zambia,1.72074448,2,25,0.0688297792,0.27925552,0.05078331655985198
Zambia W,2.728249466,3,25,0.10912997864,0.27175053400000015,0.08051721676080874
