player,team,xG,goals,shots,xG_diff
Adam Smith,AFC Bournemouth,0.653601711,2,15,1.3463982890000001
Adama Guira,Burkina Faso,0.045657467,0,1,-0.045657467
Adama Traoré,AS Monaco,0.326004996,0,5,-0.326004996
Adama Traoré,Mali,1.025569095,0,6,-1.025569095
Adama Traoré Diarra,Aston Villa,0.127577284,0,2,-0.127577284
Addisyn Merrick,KC Current,0.20044162399999998,0,2,-0.20044162399999998
Adelina Engman,Chelsea FCW,1.264951306,2,7,0.7350486940000001
Adelina Engman,WNT Finland,0.05041662,0,1,-0.05041662
Adelino André Vieira Freitas,Wolfsburg,2.262217712,1,28,-1.262217712
Adem Ljajić,Inter Milan,3.599108782,3,39,-0.5991087820000001
Adem Ljajić,Serbia,0.08284419,0,1,-0.08284419
Ademola Lookman,Nigeria,1.653924022,3,8,1.346075978
Aderllan Leandro de Jesus Santos,Valencia,1.192823551,0,8,-1.192823551
Adil Aouchiche,Saint-Étienne,0.198905746,0,2,-0.198905746
Adil Khan,East Bengal,0.130783286,0,2,-0.130783286
Adil Rami,Sevilla,1.920788435,0,16,-1.920788435
Adil Rami,Valencia,0.258593744,0,4,-0.258593744
Adlène Guédioura,Watford,0.429951627,0,13,-0.429951627
Admir Mehmedi,Bayer Leverkusen,2.525026339,2,26,-0.5250263390000001
Admir Mehmedi,Switzerland,0.8294590839999999,1,3,0.1705409160000001
Adnan Januzaj,Belgium,0.123934706,1,3,0.876065294
Adnan Januzaj,Borussia Dortmund,0.43488147600000004,0,4,-0.43488147600000004
Adnan Januzaj,Manchester United,0.42055542700000004,1,4,0.579444573
Adnan Januzaj,Real Sociedad,0.277844563,0,6,-0.277844563
Adnane Tighadouini,Málaga,0.876404185,1,15,0.12359581500000005
Ado Onaiwu,Toulouse,0.175056813,0,2,-0.175056813
Adrian Mutu,Chelsea,0.1031901,0,1,-0.1031901
Adriana Achcińska,Köln,0.709117982,1,8,0.290882018
Adriana Achcińska,Poland Women's,0.015252503,0,1,-0.015252503
Adriana Kristina Leon,Aston Villa W,3.348295201,5,26,1.651704799
Adriana Kristina Leon,Canada Women's,0.6646724635,1,8,0.3353275365
Adriana Kristina Leon,OL Reign,0.101407885,0,2,-0.101407885
Adriana Kristina Leon,Portland Thorns,0.016152706,0,1,-0.016152706
Adriana Kristina Leon,West Ham United LFC,6.244021745,7,53,0.7559782549999996
Adriana Leal da Silva,Brazil Women's,0.665573262,0,8,-0.665573262
Adriana Leal da Silva,Orlando Pride,5.281964644,6,61,0.7180353559999997
Adriano Correia Claro,Barcelona,5.825567074,8,82,2.1744329259999997
Adriano Correia Claro,Sevilla,0.0701827,0,3,-0.0701827
Adriano Russo,Frosinone,0.15270118,1,1,0.84729882
Adrien Hunou,Angers,0.187658885,0,2,-0.187658885
Adrien Rabiot,France,1.3140542210000001,1,15,-0.31405422100000013
Adrien Rabiot,Paris Saint-Germain,0.8198781476,1,14,0.1801218524
Adrien Regattin,Toulouse,1.4115896534999999,1,33,-0.4115896534999999
Adrien Sebastian Perruchet Silva,Portugal,0.108047125,0,2,-0.108047125
Adrien Thomasson,Nantes,2.811390593,2,39,-0.811390593
Adrienne Jordan,Birmingham City WFC,0.142410747,0,2,-0.142410747
Adrián Colunga Pérez,Getafe,0.030441007,0,1,-0.030441007
Adrián Colunga Pérez,Real Zaragoza,0.378309377,2,3,1.621690623
Adrián Colunga Pérez,Recreativo Huelva,0.03278612,0,1,-0.03278612
Adrián Embarba Blázquez,Espanyol,0.17827352,0,2,-0.17827352
Adrián Embarba Blázquez,Rayo Vallecano,3.280331056,2,41,-1.280331056
Adrián González Morales,Eibar,5.292716575,5,49,-0.29271657500000003
Adrián González Morales,Elche,0.012934389,0,1,-0.012934389
Adrián González Morales,Getafe,0.077759176,0,2,-0.077759176
Adrián González Morales,Racing Santander,0.2283107495,0,5,-0.2283107495
Adrián González Morales,Rayo Vallecano,0.032935563,0,1,-0.032935563
Adrián López Álvarez,Atlético Madrid,0.34163028,0,5,-0.34163028
Adrián López Álvarez,Málaga,0.21507037,0,1,-0.21507037
Adrián López Álvarez,Osasuna,0.054468356,0,1,-0.054468356
Adrián López Álvarez,RC Deportivo La Coruña,1.318736297,2,6,0.6812637029999999
Adrián López Álvarez,Villarreal,2.082198808,4,8,1.9178011920000002
Adrián Marín Gómez,Deportivo Alavés,0.1637566,0,1,-0.1637566
Adrián Marín Gómez,Villarreal,0.15268786,0,1,-0.15268786
Adrián Nicolás Luna Retamar,Kerala Blasters,1.4142163079999999,6,30,4.585783692
Adryan Oliveira Tavares,Nantes,2.440752107,3,31,0.5592478930000002
Afriyie Acquah,Torino,0.7965577395,2,24,1.2034422605000001
Ager Aketxe Barrutia,Athletic Club,0.242466785,0,4,-0.242466785
Agla María Albertsdóttir,Iceland Women's,0.165023594,0,3,-0.165023594
Agne Simonsson,Sweden,0.501465795,1,3,0.498534205
Agnes Beever-Jones,Chelsea FCW,6.313734445,11,41,4.686265555
Agnes Beever-Jones,England Women's,0.55556868,1,2,0.44443131999999996
Agnese Bonfantini,FC Internazionale Milano W,9.856794808,8,50,-1.856794808
Agnese Bonfantini,Italy Women's,0.23306058600000001,0,3,-0.23306058600000001
Aguibou Camara,Guinea,0.5335454829999999,1,5,0.46645451700000007
Agustina Barroso Basualdo,Costa Adeje Tenerife,2.397521779,2,16,-0.39752177899999985
Ahmad Nourollahi,Iran,0.099375992,0,5,-0.099375992
Ahmed Elsayed Ali Elsayed Hegazy,Egypt,1.06955567,1,3,-0.06955566999999996
Ahmed Fathy Abdel Meneim Ibrahim,Egypt,0.017610634,0,1,-0.017610634
Ahmed Jahouh,Mumbai City,1.716499992,3,23,1.283500008
Ahmed Mohamed Abo El Fotouh Mohamed,Egypt,0.126194637,0,3,-0.126194637
Ahmed Musa,Nigeria,0.716044408,2,4,1.2839555919999999
Ahmed Sayed,Egypt,0.468278199,0,10,-0.468278199
Aibanbha Kupar Dohling,Goa,1.574092455,1,12,-0.574092455
Aileen Whelan,Brighton & Hove Albion WFC,9.787945284,10,91,0.2120547160000008
Aileen Whelan,Leicester City WFC,2.964202778,1,25,-1.9642027780000002
Aimee Palmer,Bristol City WFC,0.209777398,0,7,-0.209777398
Aimee Palmer,Leicester City WFC,0.275852608,1,4,0.724147392
Ainhoa Alguacil Amores,Valencia CF,1.867924893,3,17,1.132075107
Ainhoa Delgado,Costa Adeje Tenerife,0.79545913,1,6,0.20454086999999999
Ainhoa Vicente Moraza,Atletico Madrid W,0.350737391,0,5,-0.350737391
Ainoa Campo Franco,Villarreal,1.204716814,0,10,-1.204716814
Airam López Cabrera,Goa,5.850429147,6,25,0.14957085300000017
Aitana Bonmati Conca,Barcelona WFC,7.393490708,8,53,0.6065092920000001
Aitana Bonmati Conca,Spain Women's,5.239043166,5,48,-0.23904316600000008
