team,xG,goals,shots,xG_diff
FSV Mainz 05,44.0125262268,47,404,2.9874737732000014
Finland,1.877742247,1,19,-0.877742247
Fiorentina,55.661891191,60,596,4.338108808999998
Fiorentina W,43.3902939055,41,348,-2.390293905500002
France,50.125917527,49,367,-1.1259175269999986
France Women's,58.576170681,54,379,-4.576170681000001
Freiburg,1.818422826,3,21,1.181577174
Frosinone,33.5702805436,34,492,0.42971945640000087
Fulham,1.710480988,0,24,-1.710480988
Gambia,3.052672656,2,34,-1.052672656
Gazélec Ajaccio,34.820416312,34,429,-0.820416311999999
Genoa,44.0818528592,44,473,-0.08185285919999785
Georgia,4.575323888,4,30,-0.5753238879999998
German DR,1.7196356295,1,24,-0.7196356294999999
Germany,38.4337586985,27,336,-11.4337586985
Germany Women's,42.555026765,42,316,-0.5550267650000009
Getafe,62.8061750308,51,632,-11.806175030799999
Ghana,7.478833937,10,50,2.521166063
Gimnàstic Tarragona,0.82739151,1,11,0.17260849
Girona,4.367928556,3,44,-1.3679285559999999
Goa,32.6733432265,26,312,-6.673343226500002
Granada,48.0378486555,55,508,6.9621513445000005
Granada W,39.409107516,33,341,-6.409107515999999
Guinea,5.895639746,4,43,-1.8956397459999996
Guinea-Bissau,1.5443405590000001,1,34,-0.5443405590000001
Guingamp,42.3630746895,46,397,3.636925310499997
Haiti Women's,1.9269264529999999,0,23,-1.9269264529999999
Hamburger SV,36.832275082,37,375,0.16772491799999756
Hannover 96,33.316932084,30,379,-3.316932084000001
Hellas Verona,46.1569733749,34,469,-12.156973374899998
Hertha Berlin,34.3240265475,41,330,6.675973452500003
Hoffenheim,43.099679694,42,400,-1.0996796940000024
Hoffenheim W,35.1385914705,38,296,2.8614085294999967
Houston Dash,35.6948098343,23,344,-12.694809834300003
Huesca,3.860687141,3,19,-0.8606871410000001
Hungary,4.881497924,5,50,0.1185020760000004
Hyderabad,33.9313777145,47,297,13.068622285499998
Hércules,1.528171429,2,13,0.4718285710000001
Iceland,5.2942815835,2,36,-3.2942815835
Iceland Women's,10.1630761535,6,74,-4.1630761535000005
Ingolstadt,40.8524387165,33,425,-7.8524387164999965
Inter Miami,7.422493739,9,70,1.577506261
Inter Milan,54.7311789066,51,552,-3.7311789066000003
Iran,6.225883562,5,56,-1.225883562
Italy,24.653674896,23,207,-1.6536748959999983
Italy Women's,24.8596705285,20,218,-4.859670528500001
Jamaica,2.097483685,1,28,-1.0974836849999998
Jamaica Women's,5.00276905,2,66,-3.0027690500000004
Jamshedpur,36.3563258175,42,319,5.6436741825
Japan,13.64143745,12,92,-1.6414374499999997
Japan Women's,15.8599934645,17,137,1.1400065354999995
Juventus,66.458132938,75,657,8.541867061999994
Juventus W,58.3993133285,65,504,6.6006866715
KC Current,31.30066217,29,254,-2.300662169999999
Kerala Blasters,31.0201409517,37,298,5.9798590483
Korea Republic Women's,6.325085232,2,71,-4.325085232
Köln,28.7049762265,25,258,-3.7049762265000012
LAFC,1.858197127,1,22,-0.858197127
Las Palmas,43.6978252687,45,478,1.3021747312999992
Lazio,53.4466774415,52,520,-1.4466774415000003
Leeds United,0.8145782994999999,1,16,0.18542170050000006
Leganés,7.575029325,7,85,-0.575029325
Leicester City,67.534306366,69,533,1.4656936340000044
Leicester City WFC,32.9336004555,26,269,-6.933600455499999
Lens,3.811786281,3,40,-0.8117862809999998
Levante UD,55.506028801,49,607,-6.506028800999999
Levante UD Femenino,51.0403312645,57,368,5.959668735500003
Lille,49.215953192,44,542,-5.215953192000001
Liverpool,70.631504547,75,725,4.368495452999994
Liverpool WFC,67.048952762,58,600,-9.048952761999999
Lorient,47.1287172257,51,463,3.871282774299999
Lyon,63.6468688365,68,594,4.353131163500002
Madrid CFF,53.95948273,60,459,6.040517270000002
Mali,5.9672266295,5,64,-0.9672266294999998
Mallorca,9.6459736113,10,106,0.3540263886999995
Manchester City,68.461352476,72,641,3.538647523999998
Manchester City WFC,201.695477936,212,1518,10.304522063999997
Manchester United,92.2961667885,81,810,-11.296166788500003
Manchester United W,70.214922206,73,576,2.785077794000003
Marseille,11.858540146,10,137,-1.8585401459999993
Mauritania,3.9767191814,3,51,-0.9767191814
Metz,0.560064001,0,4,-0.560064001
Mexico,15.217223232,6,170,-9.217223232
Middlesbrough,1.367086013,1,15,-0.367086013
Mohun Bagan Super Giant,17.10435849,18,170,0.8956415100000008
Montpellier,40.7265912834,49,416,8.273408716600002
Morocco,21.480921579,16,163,-5.480921579
Morocco Women's,2.895696582,2,25,-0.8956965819999998
