distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Other,body_part_Right Foot,shot_type_Kick Off,shot_type_Open Play
35.0727814693959,0.07349288481121112,False,False,False,False,True,False,True
8.76641317757725,0.059030719829299264,False,True,False,False,False,False,True
8.781799360040054,0.05632628980806806,False,True,False,False,False,False,True
23.028894893155424,0.06597705031238181,False,False,False,False,True,False,True
31.100643080167973,0.05586974721423118,False,False,True,False,False,False,True
35.90013927549586,0.0709068697031961,False,False,False,False,True,False,True
29.123530005821756,0.05861582104967844,False,False,False,False,True,False,True
17.630938715791622,0.05451763208323241,False,False,False,True,False,False,True
9.235799911215052,0.05841580248889526,False,False,False,False,True,False,True
10.163660757817528,0.05705976609184774,False,False,False,False,True,False,True
44.11621017267916,0.0727943805062816,False,False,False,False,True,False,True
19.67028215354319,0.0650317844200333,False,False,False,False,True,False,True
10.151354589413184,0.056164642519269004,False,True,False,False,False,False,True
59.0,0.08393071345709227,False,False,False,False,True,True,False
22.65656637710137,0.06573972389069614,False,False,False,False,True,False,True
9.10823802938856,0.058820722777871495,False,True,False,False,False,False,True
34.343121582057734,0.07450777728390262,False,False,False,False,True,False,True
26.737987957211736,0.06754221828303263,False,False,False,False,True,False,True
20.120139164528652,0.06352823093174183,False,False,True,False,False,False,True
13.624243098242188,0.05631488698034288,False,False,False,False,True,False,True
19.57345140745495,0.06169053824393974,False,False,False,False,True,False,True
9.849365461794987,0.054909104806846375,False,True,False,False,False,False,True
9.904039579888606,0.05268157458758533,True,False,False,False,True,False,True
31.90611226708763,0.07371622329701717,False,False,False,False,True,False,True
16.32482771731451,0.05250638558167924,False,False,False,False,True,False,True
8.527602242131142,0.058860828745602355,False,True,False,False,False,False,True
15.190786681406594,0.06177862586871325,False,False,True,False,False,False,True
21.33588526403346,0.05821593936888957,False,False,False,False,True,False,True
25.72566811571664,0.0690893210429269,False,False,False,False,True,False,True
24.399385238157127,0.06615340897701351,False,False,False,False,True,False,True
