distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Right Foot,shot_type_Open Play
9.835141076771603,0.05539136636669377,True,False,False,True,True
9.729337079164234,0.05926041656976458,False,True,False,False,True
31.820119421523238,0.06265001217248431,False,False,False,True,True
18.42281194606296,0.06439206468044356,True,False,True,False,True
17.34156855650607,0.0553941549927419,False,False,False,True,True
31.961539387207242,0.06063409111068875,False,False,False,True,True
13.579396157414363,0.059109959655590856,False,False,True,False,True
32.58005524857193,0.05562502864699491,False,False,False,True,True
6.216912416947816,0.057574276822562664,False,True,False,False,True
28.044607324760314,0.07110120684614103,False,False,False,True,True
20.4482273070308,0.05307493862109395,False,False,False,True,True
29.974822768450192,0.06102875903603028,False,False,False,True,True
7.354590403278761,0.05714781375680141,True,False,False,True,True
7.910120100226044,0.05778276097471377,False,True,False,False,True
29.913542083812146,0.06835621639167877,False,False,False,True,True
10.5,0.058968792843929814,False,False,False,True,True
19.809088823063014,0.06429545608081152,False,False,True,False,True
18.246369501903658,0.05222637425879617,False,False,False,True,True
30.73711111994749,0.069836198540542,False,False,False,True,True
27.100184501216955,0.06640845239440472,False,False,False,True,True
