distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Other,body_part_Right Foot,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty
10.538500842150178,0.05865496456663646,False,True,False,False,False,False,True,False
27.453597214208564,0.069550807421793,False,False,True,False,False,False,True,False
27.768327281274974,0.07070424559889922,False,False,True,False,False,True,False,False
28.70418088014357,0.06955822176110653,False,False,False,False,True,False,True,False
8.683893136145787,0.05913909335167069,False,True,False,False,False,False,True,False
17.78819833485112,0.06420919013668686,True,False,True,False,False,False,True,False
11.45862120850497,0.06000524741370069,False,True,False,False,False,False,True,False
23.363432966925043,0.06771953331227662,False,False,True,False,False,False,True,False
13.793114224133724,0.060901388914811935,False,True,False,False,False,False,True,False
28.862605564986676,0.06626535517291657,False,False,False,False,True,False,True,False
11.621101496846158,0.06071560122283695,False,False,True,False,False,False,True,False
5.860034129593448,0.057692643732242185,True,True,False,False,False,False,True,False
15.273833834371777,0.06153020688415483,False,True,False,False,False,False,True,False
8.402380615040009,0.058048116782890104,False,False,False,False,True,False,True,False
6.462971452822615,0.057033015441512055,True,False,True,False,False,False,True,False
13.679546776117984,0.06129826998467808,True,False,False,False,True,False,True,False
40.007999200159965,0.06696397615514513,False,False,True,False,False,False,True,False
25.679758565843255,0.05380382507579201,False,False,False,False,True,False,True,False
11.150336317797773,0.05422052793764983,False,True,False,False,False,False,True,False
16.966437457521838,0.06180362785037466,False,False,True,False,False,False,True,False
13.835100288758305,0.06173906056006874,False,False,False,False,True,False,True,False
22.5,0.06720682557382889,False,False,False,False,True,False,True,False
25.380504329110565,0.05675927297888186,False,False,True,False,False,True,False,False
28.487541136433663,0.05908383353197963,False,False,False,False,True,False,True,False
2.88617393793236,0.05572660194024081,True,False,False,True,False,False,True,False
32.261587065735,0.07417505928485559,False,False,False,False,True,False,True,False
20.47266470198738,0.05669642765150696,False,False,False,False,True,False,True,False
11.900420160649796,0.05951387036924867,True,False,True,False,False,False,False,True
