distance,angle,goal,body_part_Left Foot,body_part_Right Foot,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty
12.349089035228474,0.05834412362132225,False,True,False,False,True,False
65.02499519415592,0.10687926377413219,False,False,True,False,True,False
24.300823031329614,0.06500587635189169,False,False,True,False,True,False
17.396838793298045,0.06305753640256036,False,True,False,False,True,False
20.459227746911665,0.06579875875817331,False,True,False,False,True,False
16.313491349187025,0.06340211598807886,False,True,False,False,True,False
11.03177229641729,0.05514275120890505,False,False,True,False,True,False
10.594810050208547,0.052926775203757194,False,True,False,False,True,False
5.872818744010408,0.05506370968882207,True,False,True,False,True,False
25.814724480420082,0.053189881285884526,False,True,False,False,True,False
15.084097586531316,0.06232565925254515,False,True,False,False,True,False
16.715561611863365,0.0584262582597742,False,False,True,False,True,False
20.080338642562786,0.06566154658308239,False,True,False,False,True,False
9.980981915623332,0.05895308856689942,True,False,True,False,True,False
8.028075734570518,0.058484650594386865,False,True,False,False,True,False
5.2554733373883655,0.05693952009066786,False,False,True,False,True,False
32.83321488980329,0.06182064488612576,False,False,True,False,True,False
9.548298277703735,0.05951688929158002,True,True,False,False,True,False
15.697770542341352,0.06277887834867223,False,True,False,False,True,False
21.32135080148536,0.06588860393028646,False,True,False,False,True,False
27.577527082753456,0.05385995291755711,False,True,False,False,True,False
33.955411939777726,0.06670238128837315,False,False,True,False,True,False
29.533032353620587,0.06604571146704064,False,True,False,True,False,False
18.79627622695517,0.0616945076711611,False,True,False,False,True,False
11.800423721205943,0.05947215900191016,False,True,False,False,False,True
11.119802156513401,0.06022092635158308,False,True,False,False,True,False
4.816637831516916,0.05657321983598972,True,False,True,False,True,False
13.946325680981353,0.06149519234169887,False,True,False,False,True,False
24.508161905781517,0.0686691908034882,False,False,True,False,True,False
17.309246084101982,0.05808369704886677,False,False,True,False,True,False
14.00142849854971,0.06186587174899774,False,True,False,False,True,False
29.004310024546356,0.062088390849295,False,False,True,False,True,False
17.58010238878034,0.06405647934851952,False,False,True,False,True,False
