distance,angle,goal,body_part_Head,body_part_Right Foot,shot_type_Free Kick,shot_type_Open Play
31.01902641928015,0.07330238720180408,False,False,True,False,True
24.112444919584576,0.06210130314949269,False,False,True,False,True
20.53216988045833,0.057249795790795734,False,False,True,False,True
7.424284477308229,0.056295074169697694,False,False,True,False,True
24.11327435252209,0.06462085905480044,False,False,True,False,True
31.84022612985027,0.06788169562314905,False,False,True,True,False
30.237228708993822,0.06715998139741264,False,False,True,False,True
25.11613027518371,0.06504084073285894,True,False,True,False,True
12.433824833895644,0.061086908013644727,False,False,True,False,True
29.10017182079858,0.0675082043066173,False,False,True,False,True
28.825162618795407,0.05459535326472233,False,False,True,False,True
13.225732493892357,0.06137244874532502,False,True,False,False,True
16.17559890699569,0.05695047581584667,True,False,True,False,True
21.20848886648929,0.06572726938851622,False,False,True,False,True
28.834007699242918,0.06654004355532958,False,False,True,False,True
