distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Right Foot,shot_type_Corner,shot_type_Open Play,shot_type_Penalty
19.693907687404245,0.05030028880335842,False,False,False,True,False,True,False
22.94275484766379,0.06508663078689314,False,False,False,True,False,True,False
23.0,0.06448536161976014,False,False,False,True,False,True,False
13.485177047410245,0.06160771184211043,False,True,False,False,False,True,False
17.12921480979207,0.063303781546749,False,False,True,False,False,True,False
28.848743473503305,0.05879717870376175,False,False,True,False,False,True,False
11.764352935882194,0.054243555309956594,False,False,False,True,False,True,False
15.063200191194433,0.05353603509667172,False,False,True,False,False,True,False
11.940268003692378,0.06043867222016062,False,False,False,True,False,True,False
7.470609078247899,0.05626195173347833,False,True,False,False,False,True,False
16.846661390317074,0.06285064855933152,False,False,False,True,False,True,False
3.4438350715445076,0.05648022134168713,True,False,False,True,False,True,False
25.76140524117425,0.05535335151916445,True,False,True,False,False,True,False
12.406449935416664,0.059614085940460616,False,False,False,True,False,True,False
22.27128195681605,0.0653973596837411,False,False,False,True,False,True,False
25.03197954617253,0.06831846428682098,False,False,False,True,False,True,False
15.060212481900775,0.062033875425249074,False,False,False,True,False,True,False
31.311499485013496,0.07217854592719798,False,False,False,True,False,True,False
29.904180309782777,0.06490124669192567,False,False,True,False,False,True,False
17.771043863543863,0.05879738685193933,False,False,False,True,False,True,False
16.896153408394472,0.05943890716524121,False,False,True,False,False,True,False
23.24069706355642,0.0527955680860907,False,False,False,True,False,True,False
39.10626548265635,0.04262312828826984,False,False,True,False,True,False,False
24.506733768497178,0.06824674297033155,False,False,True,False,False,True,False
10.241581909060727,0.0560230953750805,False,False,False,True,False,True,False
11.900420160649796,0.05951387036924867,True,False,True,False,False,False,True
11.900420160649796,0.05951387036924867,False,False,False,True,False,False,True
11.900420160649796,0.05951387036924867,True,False,False,True,False,False,True
11.900420160649796,0.05951387036924867,True,False,False,True,False,False,True
11.900420160649796,0.05951387036924867,True,False,True,False,False,False,True
11.900420160649796,0.05951387036924867,True,False,True,False,False,False,True
11.900420160649796,0.05951387036924867,True,False,False,True,False,False,True
11.900420160649796,0.05951387036924867,True,False,False,True,False,False,True
11.900420160649796,0.05951387036924867,True,False,False,True,False,False,True
