distance,angle,goal,body_part_Left Foot,body_part_Right Foot,shot_type_Open Play,shot_type_Penalty
20.158620984581255,0.06541808349208922,False,True,False,True,False
23.94013366712893,0.05628372353876078,False,False,True,True,False
12.747548783981962,0.05553800234040701,False,False,True,True,False
30.167697956589265,0.07281730875237305,False,False,True,True,False
25.283393759541067,0.05829881408411882,False,True,False,True,False
7.093659140387278,0.053857412373729464,False,True,False,True,False
16.11986352299547,0.05432677526031881,False,False,True,True,False
21.156795598577776,0.06595597406541835,False,True,False,True,False
20.624257562394817,0.06292428762394671,False,False,True,True,False
23.903347045968275,0.0647200298031825,False,False,True,True,False
32.633265236564974,0.0720916597499591,False,False,True,True,False
12.500399993600206,0.052983611380180845,False,True,False,True,False
9.12852671574116,0.05923717037838828,False,False,True,True,False
20.61188977265307,0.0660384351578196,False,True,False,True,False
6.983552104767309,0.0582406669871753,False,False,True,True,False
9.865596788841517,0.05261923332177926,False,False,True,True,False
13.336041391657423,0.05710039547502856,False,True,False,True,False
13.194695904036587,0.060515070910007705,False,True,False,True,False
7.076722405181654,0.05505712994147998,False,False,True,True,False
12.0,0.05959154427448477,False,False,True,False,True
12.0,0.05959154427448477,True,True,False,False,True
12.0,0.05959154427448477,True,False,True,False,True
12.0,0.05959154427448477,True,False,True,False,True
12.0,0.05959154427448477,True,False,True,False,True
12.099999999999994,0.05963343195195743,True,False,True,False,True
12.0,0.05959154427448477,True,True,False,False,True
12.0,0.05959154427448477,True,True,False,False,True
12.0,0.05959154427448477,True,False,True,False,True
12.0,0.05959154427448477,False,False,True,False,True
12.0,0.05959154427448477,True,False,True,False,True
12.0,0.05959154427448477,True,False,True,False,True
12.0,0.05959154427448477,True,False,True,False,True
12.0,0.05959154427448477,False,False,True,False,True
