distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Right Foot,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty
13.70036495864253,0.05609317630399051,False,False,False,True,False,True,False
24.59430828464179,0.06771401312584285,False,False,True,False,False,True,False
17.828067758453244,0.05468126155191373,False,False,True,False,False,True,False
30.717421766808492,0.06413394016039528,False,False,False,True,False,True,False
27.930270317345656,0.06953613069199198,False,False,False,True,False,True,False
22.391292950609166,0.06567539017494149,False,False,False,True,False,True,False
20.048940121612414,0.05983821803051831,False,False,True,False,False,True,False
32.16022387981775,0.06596693410522872,False,False,True,False,True,False,False
7.28354309385206,0.05798582708017651,False,False,False,True,False,True,False
12.88099375048369,0.060886123299794856,True,False,True,False,False,True,False
8.285529554590937,0.05883892979873946,False,True,False,False,False,True,False
15.435349040433126,0.05743814432715495,False,False,False,True,False,True,False
14.12267680009707,0.05575426139004067,False,False,True,False,False,True,False
31.797169685366658,0.07248870552956159,False,False,True,False,False,True,False
16.181779877380606,0.05611788321138453,False,False,False,True,False,True,False
24.048284762119724,0.06754327981270172,False,False,False,True,False,True,False
16.363679292872977,0.0634300635713386,False,False,True,False,False,True,False
11.475626344561762,0.05999633125949835,False,False,False,True,False,True,False
12.660568707605519,0.05425690789999335,False,False,True,False,False,True,False
13.218547575282237,0.0586971444660528,False,False,False,True,False,True,False
11.900420160649796,0.05951387036924867,True,False,False,True,False,False,True
24.19132075766018,0.06824112078076934,False,False,False,True,False,True,False
32.52598960831169,0.06840643850121722,False,False,False,True,False,True,False
11.574541027617471,0.060649624336304636,False,False,False,True,False,True,False
9.544108130150242,0.05959245674911262,False,False,False,True,False,True,False
33.02196238868913,0.06347869680039164,False,False,False,True,True,False,False
6.506919393998976,0.0572631532437847,False,True,False,False,False,True,False
