distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Other,body_part_Right Foot,shot_type_Corner,shot_type_Open Play
7.186793443532373,0.05835924398990621,False,False,True,False,False,False,True
7.072481884034773,0.05830507062987023,True,True,False,False,False,False,True
5.108815909777918,0.05494112842896832,True,True,False,False,False,False,True
14.524806367039798,0.05831133770591214,False,False,True,False,False,False,True
11.042191811411353,0.05988271106269109,False,True,False,False,False,False,True
22.249719099350443,0.057266199819180075,False,False,True,False,False,False,True
13.555810562264428,0.06159978981396798,False,True,False,False,False,False,True
15.07116452036803,0.0626076181807238,False,False,True,False,False,False,True
12.226201372462336,0.060626017795761974,False,True,False,False,False,False,True
12.010412149464313,0.05941150235536282,False,False,True,False,False,False,True
25.411808278829746,0.050814521803792013,False,False,True,False,False,False,True
17.63008791810182,0.05723491207144549,False,False,False,False,True,False,True
8.296987405076617,0.05722308185749087,False,False,False,True,False,False,True
21.284971223847116,0.06034261954863907,False,False,True,False,False,False,True
21.55411793602327,0.06664717388259471,False,False,True,False,False,False,True
7.559100475585705,0.0562988565665702,False,True,False,False,False,False,True
17.00264685276972,0.06162227915888417,False,False,False,False,True,False,True
11.543396380615196,0.059735226027091456,False,True,False,False,False,False,True
13.849548729110278,0.05885714835734746,False,False,False,False,True,False,True
25.107170290576352,0.06578164059722358,False,False,False,False,True,False,True
13.5988970140964,0.06052125914276702,False,False,False,False,True,False,True
15.654072952429978,0.061632865990228075,False,False,True,False,False,False,True
19.68882932020083,0.06544670508938041,False,False,True,False,False,False,True
23.313729860320503,0.06093418040811333,False,False,False,False,True,False,True
11.961605243444549,0.06069410771926329,False,True,False,False,False,False,True
29.129023327259016,0.06326960666732587,False,False,False,False,True,False,True
23.08679276123039,0.0654107873923527,False,False,True,False,False,False,True
11.85622199522259,0.06080066231425951,False,False,False,False,True,False,True
17.82722636867552,0.06405305548169285,False,False,False,False,True,False,True
39.60012626242497,0.060929676800111174,True,False,False,False,True,True,False
15.239750654128176,0.06202906942057021,False,False,False,False,True,False,True
13.510366390294527,0.06162581594290907,False,True,False,False,False,False,True
13.35552320203143,0.06099577650404917,False,False,False,False,True,False,True
12.034118164618457,0.053251172311721405,False,False,False,False,True,False,True
26.377452492611948,0.06904444690427132,False,False,False,False,True,False,True
