distance,angle,goal,body_part_Left Foot,body_part_Right Foot,shot_type_Open Play
24.326117651610577,0.05997062637642239,False,True,False,True
25.887448696231157,0.06309349140771635,False,True,False,True
20.235612172603027,0.055153310196461164,False,False,True,True
19.24811679100062,0.0651912431271722,False,False,True,True
15.02331521336087,0.05818763576918055,False,False,True,True
33.66808577867176,0.06329948834092562,False,False,True,True
45.74210314360283,0.07224881418128302,False,False,True,True
8.728115489611717,0.05716843157714061,True,False,True,True
33.21821789319831,0.05488254002454031,False,False,True,True
21.897945109073586,0.06217389048957935,False,True,False,True
25.63298656028985,0.05923731725979951,False,True,False,True
16.11521020650987,0.05660951015993863,False,False,True,True
13.980700983856277,0.056085953472100464,False,False,True,True
18.262803727796012,0.06455551553946019,False,False,True,True
