distance,angle,goal,body_part_Head,body_part_Right Foot,shot_type_Open Play
7.116881339463232,0.05813552636455253,False,False,True,True
28.3425475213503,0.05819391252386233,False,False,True,True
8.207313811473272,0.05507328185319413,False,True,False,True
11.272976536833564,0.06044090698069992,False,False,True,True
36.78396389732895,0.05468435059902187,False,False,True,True
14.54957044039445,0.06110605116037881,False,False,True,True
12.340583454602134,0.06109551330015325,False,False,True,True
12.335720489699815,0.06048288730109215,False,True,False,True
58.178776198885444,0.05948840068365921,False,False,True,True
31.822004965118083,0.07268606428899795,False,False,True,True
11.116204388189338,0.059426707717509915,False,True,False,True
7.156116265125941,0.05805688163405334,False,True,False,True
28.945638704302244,0.06118509302768209,False,False,True,True
29.107559155655768,0.07130696814858464,True,False,True,True
8.18596359630313,0.05655823334204944,False,True,False,True
12.851459061133877,0.0611893610219609,False,False,True,True
22.514439810930227,0.05400170373773606,False,False,True,True
32.743396280776984,0.0733616283493896,False,False,True,True
