distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Other,body_part_Right Foot,shot_type_Free Kick,shot_type_Open Play
45.33398283848442,0.07215035311502568,False,False,False,False,True,False,True
21.070595625183447,0.06632550406128282,True,False,False,False,True,True,False
15.897798589741917,0.06213607540089261,False,False,True,False,False,False,True
21.668410186259635,0.06523531442240457,False,False,False,False,True,False,True
34.62831211595506,0.07631613475746249,False,False,False,False,True,False,True
29.395407804621456,0.06318199915281254,False,False,False,False,True,False,True
17.36577093019483,0.0638842418172536,False,False,False,False,True,False,True
33.66556103795093,0.07103798375926623,False,False,True,False,False,False,True
27.203860020225065,0.06904269845661401,False,False,False,False,True,False,True
11.42015761712596,0.06021188301815256,False,False,True,False,False,False,True
24.023530131935235,0.05835302454016141,False,False,False,False,True,False,True
13.805795884337849,0.06020255080821852,False,False,False,False,True,False,True
12.803515142334932,0.05981803297591723,False,True,False,False,False,False,True
17.440183485273312,0.05631858933783622,False,False,False,False,True,False,True
5.968249324550714,0.05740206255126266,False,True,False,False,False,False,True
20.382835916525455,0.06486642278006988,False,False,True,False,False,False,True
20.623530250662718,0.05806101956000106,False,False,False,False,True,False,True
28.82585644868162,0.05983346418105052,False,False,False,False,True,True,False
31.041262860908223,0.06749112149479769,False,False,True,False,False,False,True
12.397580409095957,0.058645884989000266,False,False,False,True,False,False,True
30.94672842159572,0.06600993198140272,False,False,False,False,True,False,True
18.27922317824256,0.0629776844149309,False,False,False,False,True,False,True
9.662815324738439,0.05777385095017801,False,False,False,False,True,False,True
9.052071586106688,0.05905200453418977,False,False,True,False,False,False,True
22.539742678211745,0.06638660140877503,False,False,False,False,True,False,True
31.39968152704737,0.06710895088308985,False,False,False,False,True,False,True
25.025187311986297,0.06266521897548812,False,False,True,False,False,False,True
8.645229898620393,0.0563238343782778,False,True,False,False,False,False,True
20.169531476958014,0.06575406826161714,False,False,True,False,False,False,True
8.94930164873215,0.05906315724270822,False,True,False,False,False,False,True
8.417244204607584,0.05760831717474827,False,True,False,False,False,False,True
17.5,0.06196547278047399,False,False,False,False,True,False,True
17.622996340009838,0.058151327881550696,False,False,False,False,True,False,True
