distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Other,body_part_Right Foot,shot_type_Open Play
17.010584939971935,0.06150043947930162,False,False,False,False,True,True
12.335720489699815,0.06048288730109215,False,False,True,False,False,True
4.044749683231338,0.056207514985188674,True,False,False,False,True,True
21.8524598157736,0.06630127726719298,False,False,False,False,True,True
15.82182037567106,0.06309207489363071,True,False,False,False,True,True
6.61211010192661,0.05727045767896407,False,True,False,False,False,True
11.788129622633106,0.058259557735226654,False,False,False,False,True,True
22.926840166058646,0.059290313281576884,False,False,False,False,True,True
21.818570072303093,0.06667225168884086,False,False,False,False,True,True
20.957099035887577,0.05900808243562125,False,False,True,False,False,True
27.43446737226731,0.05723553823105536,False,False,True,False,False,True
32.63694225873497,0.07353466446158258,False,False,False,False,True,True
19.649173010587493,0.06352058182203241,False,False,True,False,False,True
29.528630174798153,0.0683678220977976,False,False,False,False,True,True
19.961212388028947,0.060758555657232066,False,False,True,False,False,True
12.280065146407004,0.06063174608786694,False,False,True,False,False,True
24.926291340670804,0.06739399937299487,False,False,True,False,False,True
20.678491240900534,0.05533779223222427,False,False,True,False,False,True
32.1124586414681,0.0728751539881898,False,False,True,False,False,True
19.89095271725314,0.05073072978635389,False,False,True,False,False,True
18.2428068015862,0.06391607432107062,False,False,False,False,True,True
32.205123815939594,0.06742944499294536,False,False,False,False,True,True
14.159802258506296,0.05550086848949806,False,False,False,False,True,True
27.457785781085843,0.07071682270231106,False,False,False,False,True,True
17.171196813268427,0.05659925000460171,False,False,False,False,True,True
7.324616030891996,0.05598300088992606,False,False,False,True,False,True
26.493961576178073,0.06775702879995488,False,False,False,False,True,True
16.459647626847904,0.06343840822387554,False,False,True,False,False,True
36.97093452970861,0.07769562859363921,False,False,False,False,True,True
28.696515467910036,0.07075184523916048,False,False,True,False,False,True
