distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Right Foot,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play
28.40915345447661,0.07057130036473827,False,False,False,True,False,True,False
32.330326320654414,0.07410578950915914,False,False,False,True,False,False,True
5.798275605729695,0.05765861770216429,False,False,False,True,False,False,True
54.27780393494195,0.0972797375376288,False,False,False,True,False,False,True
19.479476378999507,0.06507524392226324,False,False,True,False,False,False,True
2.1260291625469248,0.05587472941701922,True,False,True,False,False,False,True
25.92006944435142,0.06949567696560612,False,False,False,True,False,False,True
21.940145851839723,0.06685001704948106,False,False,False,True,False,False,True
24.92889889265068,0.06759483025818523,False,False,True,False,False,False,True
14.712239802287069,0.058858944168262324,False,True,False,False,False,False,True
5.315072906367325,0.057407469504490646,False,False,True,False,False,False,True
17.260938560808334,0.05617712494632288,False,False,True,False,False,False,True
15.961516218705542,0.05385821984691573,False,False,False,True,False,False,True
20.100995000248115,0.0630510659524193,False,False,False,True,False,False,True
25.868320393871723,0.06925700551635153,False,False,False,True,False,True,False
18.552627846210893,0.06454782481374188,False,False,False,True,False,False,True
16.519685227025366,0.0522463512042287,False,False,False,True,False,False,True
16.726326554267672,0.056017511996602154,False,False,False,True,False,False,True
22.051077071199945,0.05240124064131531,False,False,False,True,False,False,True
12.179490958164054,0.05655720001375605,False,False,True,False,False,False,True
15.601281998605108,0.061050875137504505,False,False,False,True,False,False,True
28.1513765205185,0.061947171989245264,False,False,True,False,False,False,True
39.31272058761642,0.06149109572119021,False,False,False,True,True,False,False
17.98054504179448,0.0553919008920982,True,False,False,True,False,False,True
18.66011789887727,0.05972551680857934,False,False,True,False,False,False,True
12.137956994486341,0.06095227068720357,False,False,False,True,False,False,True
18.121810064118872,0.054520626795503443,False,False,False,True,False,False,True
7.043436661176132,0.05828308675235528,False,False,True,False,False,False,True
