distance,angle,goal,body_part_Left Foot,body_part_Other,body_part_Right Foot,shot_type_Open Play
18.738463117342363,0.06448943128800999,False,False,False,True,True
16.21110730332755,0.06326804454040956,False,True,False,False,True
26.61766330841232,0.05934469111634078,False,True,False,False,True
25.437177516383386,0.06278118661582797,False,False,False,True,True
19.296113598338916,0.05567222879750977,False,False,False,True,True
17.170323235163625,0.05573432724927062,False,False,False,True,True
22.784643951574054,0.0670668929052727,True,True,False,False,True
5.412023651093926,0.057306250716107905,True,False,False,True,True
11.67304587500623,0.05338814350083983,False,False,False,True,True
22.51443981093023,0.06694973206971337,False,False,False,True,True
30.634947364080777,0.05901349024965147,False,False,False,True,True
14.243595051811885,0.056005351462376236,False,False,False,True,True
30.2803566689694,0.07194557197015759,False,False,False,True,True
23.16398065963621,0.0668249722385708,False,False,False,True,True
18.880942773071478,0.0550030711782393,False,False,False,True,True
26.612027356065898,0.06580373653198435,False,False,False,True,True
39.1716734388512,0.0651102234363483,False,True,False,False,True
11.241441188744437,0.05435352859236867,True,False,False,True,True
20.86072865457963,0.05462599276879275,False,True,False,False,True
10.469479452198184,0.0576803258067221,False,False,True,False,True
15.508062419270823,0.06266695916314302,False,False,False,True,True
18.507566020414465,0.06473639094709434,False,True,False,False,True
13.386933928274992,0.054784113346938175,False,False,False,True,True
28.900000000000002,0.05683996826518062,True,True,False,False,True
21.445745498816315,0.06436161582818543,False,False,False,True,True
29.692086487816912,0.06416186498931493,False,False,False,True,True
