distance,angle,goal,body_part,shot_type,first_time,under_pressure,num_opponents,technique
12.491997438360285,0.052513139683034636,False,Right Foot,Open Play,1,0,0,Volley
31.90814942926023,0.07204394943878113,False,Right Foot,Open Play,0,0,2,Normal
3.61386219991853,0.05646159597346971,False,Head,Open Play,0,0,2,Normal
11.122050170719424,0.06044201586440365,False,Right Foot,Open Play,1,0,1,Volley
6.107372593840994,0.054901913906298956,False,Head,Open Play,0,0,2,Normal
23.55949914577982,0.0675332564979664,False,Right Foot,Open Play,0,0,1,Normal
24.21652328473268,0.06746641458651742,False,Right Foot,Open Play,0,0,2,Normal
27.53924472457442,0.06950082690861081,False,Right Foot,Open Play,0,0,3,Normal
24.0968877658506,0.06777437383874431,False,Right Foot,Open Play,1,1,1,Normal
12.332882874656677,0.05939018278147508,False,Right Foot,Open Play,1,1,3,Half Volley
28.148534597737058,0.07127400509628282,False,Left Foot,Open Play,1,0,0,Normal
6.003332407921457,0.05775177710438511,False,Head,Open Play,0,0,5,Normal
5.92114853723499,0.05727843126147685,True,Head,Open Play,0,0,3,Normal
14.10141836837699,0.06175243478327527,True,Left Foot,Open Play,1,1,1,Normal
22.600000000000005,0.06279990052196914,False,Left Foot,Open Play,0,0,2,Normal
