distance,angle,goal,body_part_Left Foot,body_part_Right Foot,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play
23.357439928211317,0.06652713683003268,False,True,False,False,False,True
30.903236076501756,0.07173688889952007,False,False,True,False,False,True
22.53974267821175,0.06724977330322836,False,False,True,False,False,True
26.70917445373406,0.06662234256273321,False,True,False,False,False,True
23.928226010300058,0.06225759834010126,True,False,True,False,False,True
17.526266002774243,0.061054236902720646,False,True,False,False,False,True
26.096934685897498,0.054401049671749024,False,True,False,False,False,True
39.200127550812894,0.060927652415669845,False,False,True,True,False,False
20.93442141545832,0.06607400599034136,False,False,True,False,False,True
31.95246469366644,0.07408258100943216,False,False,True,False,False,True
16.979988221432894,0.0633994215426066,False,False,True,False,False,True
28.50140347421509,0.06114847794873688,True,False,True,False,False,True
21.949487465542337,0.062356747340202155,False,False,True,False,False,True
19.262658175859322,0.052462935379771376,False,False,True,False,False,True
3.8897300677553486,0.05591344546035054,True,True,False,False,False,True
17.66182323544203,0.05892469003324695,False,True,False,False,False,True
35.50774563387544,0.0656374195133901,False,False,True,False,True,False
29.377712640707756,0.0722070572406666,False,False,True,False,True,False
26.701685340067957,0.06610975496309901,False,False,True,False,False,True
21.62336699036485,0.06232115499017495,False,False,True,False,False,True
15.681836627130123,0.062387642367556805,False,True,False,False,False,True
16.994116628998402,0.05246643850438942,False,False,True,False,False,True
38.51493216922497,0.07777931178967518,False,False,True,False,False,True
