distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Right Foot,shot_type_Free Kick,shot_type_Open Play
19.51332877804298,0.06190990463128375,False,False,False,True,False,True
10.431682510506153,0.053864450511500406,True,False,False,True,False,True
8.895504482602437,0.05835866289480524,True,True,False,False,False,True
14.897315194356327,0.060123807989970454,False,False,False,True,False,True
22.2524155992108,0.06712623401190516,False,False,False,True,False,True
28.192374855623637,0.07104071165635677,False,False,False,True,False,True
11.641735265844174,0.06026939573853032,False,False,False,True,False,True
26.690260395882248,0.06994018243121196,False,False,False,True,False,True
32.89376840679706,0.06278225253260815,False,False,False,True,False,True
8.563293758829014,0.05504239586290679,False,False,False,True,False,True
29.092954473549085,0.07127856421976614,False,False,False,True,False,True
22.226560687609762,0.056582356939248506,False,False,False,True,False,True
13.520355024924461,0.0608419330340987,False,False,True,False,False,True
19.144189719076643,0.062126759725645145,False,False,True,False,False,True
11.067520047418029,0.05408817036569071,False,False,False,True,False,True
9.27631392310545,0.05497757535066446,True,False,True,False,False,True
24.713559031430496,0.06862272261886762,False,False,True,False,False,True
28.675076285861913,0.06814070449241044,False,False,False,True,True,False
11.200892821556682,0.05758415880768973,False,True,False,False,False,True
12.984991336154216,0.06071381770423728,False,False,True,False,False,True
19.44865033877673,0.06489098043261117,False,False,True,False,False,True
16.475739740600414,0.06320208566855391,False,False,True,False,False,True
44.77555136455607,0.052656228466206434,False,False,True,False,False,True
14.187318280774562,0.05812014389339787,False,True,False,False,False,True
37.943642418724124,0.07601942266356847,False,False,False,True,False,True
16.1245154965971,0.0522689688863664,False,False,False,True,False,True
