distance,angle,goal,body_part_Left Foot,body_part_Right Foot,shot_type_Free Kick,shot_type_Open Play
15.66269453191244,0.06167126436228225,False,False,True,False,True
23.97269279826528,0.05311347283160699,False,False,True,False,True
24.400819658363936,0.05987183642725366,False,False,True,False,True
28.063143088399777,0.06907139359592045,True,False,True,True,False
17.93878479719292,0.05874986243231451,False,False,True,False,True
27.868620346188646,0.0697102039973816,False,False,True,False,True
28.45241641759097,0.07005817904150873,False,False,True,False,True
28.71724220742653,0.07045559485473109,False,False,True,False,True
25.379716310471238,0.06926037198565577,False,False,True,False,True
30.39802625171575,0.06439827252444229,False,False,True,True,False
6.9426219830839155,0.05539341174501913,False,False,True,False,True
27.78560778532656,0.048889342825716345,False,False,True,False,True
26.23451924468981,0.06412933449425601,False,True,False,False,True
13.705838172107537,0.061877328706449894,False,False,True,False,True
19.734487578855447,0.05508397158680895,False,False,True,False,True
28.49859645666782,0.0628772780462285,False,True,False,False,True
