distance,angle,goal,body_part_Left Foot,body_part_Right Foot,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty
17.63774361986249,0.06358411465541515,False,False,True,False,False,True,False
6.902897942168924,0.05806158635410188,False,False,True,False,False,True,False
25.468608128439218,0.068531503913884,False,False,True,False,False,True,False
16.24961538006361,0.06220524663558275,True,False,True,False,False,True,False
26.699250925821868,0.06893284450530714,False,False,True,False,False,True,False
7.144928271158502,0.05529564370886096,False,False,True,False,False,True,False
27.581152985326778,0.052532658536979845,False,False,True,False,False,True,False
12.0,0.05959154427448477,True,False,True,False,False,False,True
20.48926548219824,0.054021510611274186,False,False,True,False,False,True,False
28.00714194629649,0.0700245433917766,False,False,True,False,True,False,False
39.304579885809744,0.06128523869330275,True,False,True,True,False,False,False
42.7299660659823,0.08399090217607684,False,False,True,False,False,True,False
7.46324326281811,0.058506299749844164,True,True,False,False,False,True,False
26.268802789621,0.05261926560752025,False,False,True,False,False,True,False
19.865548066942427,0.06010702023707275,False,False,True,False,False,True,False
19.33313218286163,0.054327152202064515,False,False,True,False,False,True,False
33.30240231574894,0.07354101690224422,False,True,False,False,False,True,False
