match_id,player,team,distance,angle,goal,body_part,shot_type,first_time,under_pressure,num_opponents,technique
3775584,Jill Roord,Arsenal WFC,18.62713075060139,0.064408759327146,False,Right Foot,Open Play,0,0,2,Half Volley
3775584,Katie McCabe,Arsenal WFC,22.89650628371062,0.05745123935594499,False,Left Foot,Open Play,1,1,3,Normal
3775584,Vivianne Miedema,Arsenal WFC,5.403702434442525,0.056989579993044506,False,Left Foot,Open Play,1,0,3,Volley
3775584,Kim Little,Arsenal WFC,11.628413477340747,0.06005739883129683,False,Left Foot,Open Play,0,0,1,Normal
3775584,Jennifer Patricia Beattie,Arsenal WFC,9.108238029388561,0.053351446688283094,False,Head,Open Play,0,1,1,Normal
3775584,Caitlin Jade Foord,Arsenal WFC,23.602754076590298,0.06771039393331352,False,Right Foot,Open Play,0,0,3,Normal
3775584,Jill Roord,Arsenal WFC,14.629422408283935,0.05734305172144483,False,Left Foot,Open Play,0,0,3,Half Volley
3775584,Vivianne Miedema,Arsenal WFC,21.41144553737557,0.06495481293131276,False,Right Foot,Open Play,0,0,2,Normal
3775584,Kim Little,Arsenal WFC,12.100413216084807,0.05959743192834747,False,Right Foot,Penalty,0,0,0,Normal
3775584,Vivianne Miedema,Arsenal WFC,13.699999999999998,0.06148388654660299,False,Right Foot,Open Play,0,0,1,Normal
3775584,Jill Roord,Arsenal WFC,22.57299271253149,0.06251951545349088,False,Left Foot,Open Play,0,0,2,Normal
3775584,Vivianne Miedema,Arsenal WFC,19.90602923739438,0.06493274733322262,False,Left Foot,Open Play,1,0,2,Normal
3775584,Caitlin Jade Foord,Arsenal WFC,17.774701122663075,0.06426482122904942,False,Right Foot,Open Play,1,0,1,Normal
3775584,Leah Williamson,Arsenal WFC,30.527692346458156,0.06742015606787904,False,Right Foot,Open Play,0,0,1,Normal
3775584,Leah Williamson,Arsenal WFC,9.219544457292887,0.059233034771095816,False,Left Foot,Open Play,1,0,5,Backheel
3775584,Leah Williamson,Arsenal WFC,9.323089616645328,0.05935856862093273,False,Head,Open Play,0,1,4,Normal
3775584,Caitlin Jade Foord,Arsenal WFC,13.41715320028805,0.05896815901605103,False,Right Foot,Open Play,0,0,4,Half Volley
3775584,Mollie Green,Birmingham City WFC,35.35038896532823,0.06782874740201465,False,Right Foot,Open Play,0,0,1,Normal
3775584,Bethany Mead,Arsenal WFC,21.023796041628643,0.06615514879988232,False,Right Foot,Open Play,0,0,1,Normal
3775584,Caitlin Jade Foord,Arsenal WFC,7.596051605933173,0.056713691501813775,True,Head,Open Play,0,1,2,Normal
3775584,Jill Roord,Arsenal WFC,9.712878049270467,0.058810487527156875,False,Head,Open Play,0,0,3,Normal
3775584,Bethany Mead,Arsenal WFC,25.09661331733826,0.06650812387788214,False,Right Foot,Open Play,0,0,3,Normal
3775584,Vivianne Miedema,Arsenal WFC,17.15925406304132,0.05566112922925284,False,Right Foot,Open Play,0,0,2,Normal
3775584,Jill Roord,Arsenal WFC,19.99049774267764,0.06010143345078961,True,Right Foot,Open Play,1,0,3,Normal
3775584,Lisa Evans,Arsenal WFC,19.445565047074357,0.05481637634623692,False,Right Foot,Open Play,1,0,1,Normal
3775584,Kim Little,Arsenal WFC,18.916923639957957,0.06292968683683607,False,Left Foot,Open Play,0,0,3,Normal
3775584,Christie Murray,Birmingham City WFC,20.93800372528384,0.06238292644303118,False,Left Foot,Open Play,0,0,1,Normal
3775584,Emma Rose Kelly,Birmingham City WFC,27.864852413031006,0.05497647326146006,False,Left Foot,Open Play,0,1,2,Normal
3775584,Malin Gut,Arsenal WFC,29.940774873072336,0.06939677438193376,False,Right Foot,Open Play,0,0,2,Normal
3775584,Danielle van de Donk,Arsenal WFC,9.871676655968827,0.059368571431386706,False,Head,Open Play,0,1,2,Normal
3775584,Malin Gut,Arsenal WFC,13.080137613954983,0.06151433310295932,False,Right Foot,Open Play,0,0,1,Normal
3775584,Jordan Nobbs,Arsenal WFC,19.64713719603953,0.061821320913720355,False,Right Foot,Open Play,0,0,3,Normal
3775584,Kim Little,Arsenal WFC,12.099999999999994,0.05963343195195743,True,Right Foot,Penalty,0,0,0,Normal
3775584,Claudia Walker,Birmingham City WFC,32.64506088216103,0.07417622946366074,False,Right Foot,Open Play,0,0,0,Normal
