distance,angle,goal,body_part,shot_type,first_time,under_pressure,num_opponents,technique
21.5027905165818,0.06467000468493096,False,Right Foot,Open Play,0,1,2,Volley
31.184130579511116,0.07072015626002422,False,Left Foot,Open Play,0,0,1,Normal
26.434258075459585,0.06868415425244963,False,Right Foot,Open Play,0,1,2,Normal
20.65187642806338,0.06553644238748596,False,Left Foot,Open Play,0,0,3,Half Volley
8.2,0.05853556284971418,False,Head,Open Play,0,0,1,Normal
8.183520025025912,0.05886720714824923,False,Head,Open Play,0,0,6,Normal
26.158937287282907,0.06153349830914387,False,Right Foot,Open Play,0,0,2,Normal
31.20544824225411,0.07293094155823591,False,Right Foot,Open Play,1,0,1,Normal
24.50979396078229,0.06353282758059253,False,Right Foot,Open Play,1,0,1,Half Volley
43.36553931406826,0.06624573061969322,False,Left Foot,Open Play,1,1,1,Half Volley
27.2066168422316,0.06682078084862163,False,Right Foot,Free Kick,0,0,0,Normal
26.354885695066102,0.06692537154498415,False,Right Foot,Open Play,1,0,1,Half Volley
13.679546776117988,0.0595440759807282,False,Right Foot,Open Play,0,0,1,Normal
14.25552524462006,0.059679201176186907,True,Right Foot,Open Play,0,1,2,Normal
17.315888657530692,0.0610111193945685,False,Left Foot,Open Play,1,0,3,Normal
22.06762334280699,0.05798721977742217,False,Right Foot,Open Play,1,0,1,Normal
10.44030650891055,0.052897006511723375,False,Right Foot,Open Play,0,0,2,Normal
29.706901555025897,0.06569667257369581,False,Left Foot,Open Play,0,0,2,Normal
27.5530397597071,0.07033051574071436,False,Right Foot,Open Play,0,0,2,Normal
16.685922210054795,0.05806672502599789,False,Right Foot,Open Play,1,0,2,Normal
