distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Right Foot,shot_type_Open Play,shot_type_Penalty
29.35574901105403,0.07164518498484125,False,False,False,True,True,False
22.249719099350443,0.05983319064807585,False,False,False,True,True,False
17.741758650145147,0.06379784383229534,False,False,False,True,True,False
12.0,0.05959154427448477,True,False,True,False,False,True
30.540792393125628,0.07305929890714292,False,False,False,True,True,False
11.386395390991831,0.060473716530876465,True,False,True,False,True,False
20.74078108461685,0.056400076180255,False,False,False,True,True,False
17.839843048636947,0.06302545648489694,False,False,True,False,True,False
11.920151005754917,0.05674183785096273,False,False,False,True,True,False
8.527602242131133,0.0590403849099649,False,True,False,False,True,False
21.27580785775243,0.06646944470618926,False,False,False,True,True,False
22.495555116511344,0.06690334613549066,False,False,False,True,True,False
12.0,0.05959154427448477,True,False,False,True,False,True
18.139735389470268,0.06450773976006,True,False,False,True,True,False
28.100711734758605,0.06892567106733913,False,False,False,True,True,False
25.330811277967385,0.06857825154544762,False,False,False,True,True,False
15.983116091676237,0.06289245088940441,False,False,True,False,True,False
23.817010727629103,0.06443271218884483,False,False,True,False,True,False
27.160265094435285,0.07038217505321501,False,False,False,True,True,False
30.200165562460086,0.0680643076080028,False,False,False,True,True,False
12.390722335683261,0.057331760971801426,False,False,False,True,True,False
25.496078129783022,0.06017313071075201,False,False,False,True,True,False
16.256075787224916,0.06320984616717194,False,False,True,False,True,False
22.772790781983662,0.05476631725232651,False,False,True,False,True,False
13.242356285797475,0.053024775906844464,False,False,False,True,True,False
4.534313619501858,0.05525462559955124,True,False,False,True,True,False
22.924222996647014,0.0675210700041661,False,False,False,True,True,False
12.0,0.05959154427448477,True,False,False,True,False,True
17.07922714879101,0.059352932828529686,False,False,False,True,True,False
9.338094023943006,0.05789345402318783,False,True,False,False,True,False
11.900420160649796,0.05951387036924867,True,False,False,True,False,True
11.900420160649796,0.05951387036924867,True,False,True,False,False,True
11.900420160649796,0.05951387036924867,False,False,False,True,False,True
11.900420160649796,0.05951387036924867,True,False,True,False,False,True
11.900420160649796,0.05951387036924867,False,False,False,True,False,True
11.900420160649796,0.05951387036924867,True,False,False,True,False,True
11.900420160649796,0.05951387036924867,True,False,False,True,False,True
11.900420160649796,0.05951387036924867,True,False,False,True,False,True
