distance,angle,goal,body_part,shot_type,first_time,under_pressure,num_opponents,technique
14.13966053340744,0.06028703744366237,False,Right Foot,Open Play,0,0,2,Normal
22.49644416346726,0.05558136293992034,False,Right Foot,Open Play,0,0,2,Normal
24.340295807569806,0.06771145302657536,False,Left Foot,Open Play,0,0,1,Half Volley
22.635591443565147,0.056742379799990576,False,Left Foot,Open Play,0,0,2,Normal
31.069760217935382,0.06380714051542213,False,Left Foot,Open Play,0,0,2,Normal
29.47168132292422,0.063544179515969,False,Left Foot,Open Play,0,1,1,Normal
16.45752107700307,0.052592962525846006,False,Right Foot,Open Play,1,0,2,Half Volley
10.852188719332158,0.059976597190059204,False,Left Foot,Open Play,1,0,3,Volley
23.521266972678152,0.06424564887855676,False,Right Foot,Open Play,0,0,2,Normal
30.871507899679923,0.0695006786724106,False,Right Foot,Open Play,0,0,2,Normal
26.322993750711564,0.056760204371415664,False,Right Foot,Open Play,0,0,2,Normal
23.566925976885493,0.06597695776442904,False,Right Foot,Open Play,1,0,0,Volley
29.090376415577715,0.06364562872337251,False,Right Foot,Open Play,0,1,1,Normal
16.614752480852665,0.0618460372005503,False,Right Foot,Open Play,0,0,4,Normal
22.831995094603542,0.06748054874636729,False,Left Foot,Open Play,1,0,1,Half Volley
37.93810749101752,0.07926583915160453,False,Right Foot,Free Kick,0,0,0,Normal
4.24499705535822,0.0567533817837581,False,Head,Open Play,0,1,4,Normal
28.08344708186657,0.07096352953418021,False,Right Foot,Free Kick,0,0,0,Normal
34.70864445638867,0.07642374588984811,False,Right Foot,Open Play,0,0,2,Normal
7.0292247083159936,0.05549733740161978,False,Head,Open Play,0,1,4,Normal
12.58729518204765,0.061102766440763984,False,Right Foot,Open Play,0,0,1,Normal
11.313708498984761,0.05520921458263703,False,Head,Open Play,0,1,2,Normal
