distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Right Foot,shot_type_Kick Off,shot_type_Open Play
59.100084602308314,0.08385950045619386,False,False,False,True,True,False
26.288590681130096,0.06074597146829459,False,False,True,False,False,True
14.797972834141847,0.06008219569962955,True,False,True,False,False,True
6.870953354520752,0.0575767351939361,False,True,False,False,False,True
17.477413996355413,0.06400124626122385,False,False,False,True,False,True
31.772314992773186,0.07258250041395961,False,False,False,True,False,True
5.882176467941098,0.0575236905607416,False,True,False,False,False,True
9.313431161500038,0.058646082873496666,False,False,True,False,False,True
26.97035409482048,0.05995078987569787,False,False,True,False,False,True
23.85330165826106,0.06794572942859631,False,False,True,False,False,True
26.786750456149022,0.06970904780288392,False,False,False,True,False,True
22.13255520720551,0.06460827385968085,False,False,True,False,False,True
27.56174885597792,0.06010972524565478,False,False,False,True,False,True
30.842341026582268,0.056935612396735155,False,False,False,True,False,True
26.812683565805198,0.0688088692744173,False,False,False,True,False,True
18.08535318980528,0.060758041694052585,False,False,True,False,False,True
21.564090521049106,0.0656681797182287,False,False,True,False,False,True
21.160340261914502,0.05317586151058675,False,False,False,True,False,True
10.153324578678653,0.05673600757063032,False,True,False,False,False,True
29.123358322830835,0.05706025874646378,False,False,False,True,False,True
23.64339231159522,0.06347449611026328,False,False,False,True,False,True
36.04566548144173,0.07762083863120878,False,False,False,True,False,True
18.409780009549266,0.05973389791529815,False,False,False,True,False,True
37.00608058143958,0.05665944052194841,False,False,False,True,False,True
26.257379914987716,0.06990045365978496,False,False,False,True,False,True
12.226201372462342,0.05996233913267252,False,True,False,False,False,True
16.020611723651502,0.06246934028315304,False,False,True,False,False,True
29.681138792169005,0.06973372036029486,False,False,False,True,False,True
35.87547909087766,0.051707298756285575,True,False,False,True,False,True
