distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Right Foot,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty
22.332935319836487,0.06676925738636809,False,False,True,False,False,False,True,False
25.904632790294485,0.06078890397423495,False,False,False,True,False,False,True,False
19.320973060381817,0.062387573646833505,False,False,False,True,False,False,True,False
5.544366510251643,0.05752938765785914,False,True,False,False,False,False,True,False
24.413520843991343,0.06684155129960315,False,False,False,True,False,False,True,False
28.90570877871705,0.06144161711698931,False,False,False,True,False,False,True,False
21.932852071721083,0.06593586670697646,False,False,True,False,False,False,True,False
23.434376458527765,0.05858627673742587,False,False,True,False,False,False,True,False
39.500506325868784,0.04236771631899878,False,False,True,False,True,False,False,False
35.992360300485984,0.06732924039266873,False,False,False,True,False,True,False,False
35.016853085335924,0.07325121763841681,False,False,False,True,False,True,False,False
26.870429843975323,0.06948319062296665,False,False,False,True,False,False,True,False
6.200806399170996,0.05771592842013617,True,True,False,False,False,False,True,False
20.372530525194946,0.055068361650416044,False,False,True,False,False,False,True,False
19.581624038878903,0.06539645062571149,False,False,True,False,False,False,True,False
22.401785643113364,0.05995566734123347,False,False,False,True,False,False,True,False
13.160927019021116,0.06060601849429859,False,False,True,False,False,False,True,False
11.900420160649796,0.05951387036924867,True,False,False,True,False,False,False,True
28.511225859299703,0.06758227055776606,False,False,False,True,False,False,True,False
21.749712641779894,0.0659737592226085,False,False,True,False,False,False,True,False
13.294359706281458,0.061482561569219135,True,False,True,False,False,False,True,False
