distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Right Foot,shot_type_Open Play,shot_type_Free Kick,shot_type_Penalty,body_part_Other,shot_type_Corner,shot_type_Kick Off
36.55707865790154,0.0663900689689377,0,0,0,1,1,0,0,0,0,0
21.48883430993874,0.0666354953536317,0,0,0,1,1,0,0,0,0,0
6.360031446463132,0.0579435378206908,0,1,0,0,1,0,0,0,0,0
7.905694150420948,0.0558925738844232,0,0,0,1,1,0,0,0,0,0
14.649232061783993,0.0624232940327625,1,0,0,1,1,0,0,0,0,0
20.778113485107355,0.0642009187780234,0,0,0,1,1,0,0,0,0,0
8.765842800324451,0.0591823079715208,0,1,0,0,1,0,0,0,0,0
17.160419575290106,0.0638789552895381,0,0,1,0,1,0,0,0,0,0
5.80517010948,0.0573839578407972,0,0,0,1,1,0,0,0,0,0
11.860860002546186,0.0599332081129107,0,0,0,1,1,0,0,0,0,0
7.864477096412707,0.0583482373721068,1,0,1,0,1,0,0,0,0,0
5.632051136131495,0.0574161545106627,0,1,0,0,1,0,0,0,0,0
13.009611831257692,0.0610886867283713,0,0,1,0,1,0,0,0,0,0
26.65933232472261,0.0701590537059572,0,0,0,1,1,0,0,0,0,0
22.242751628339512,0.0662624579977299,0,0,1,0,1,0,0,0,0,0
9.843271813782248,0.0572336221529111,0,0,1,0,1,0,0,0,0,0
18.10248601711931,0.0641596822985623,0,0,1,0,1,0,0,0,0,0
22.12261286557264,0.0669885784906456,0,0,1,0,1,0,0,0,0,0
13.548431643551964,0.0594313940963967,0,0,0,1,1,0,0,0,0,0
9.102197536858885,0.0584639352116698,0,1,0,0,1,0,0,0,0,0
21.920082116634507,0.066825128273314,1,0,1,0,1,0,0,0,0,0
20.71834935510066,0.06198160301565,0,0,0,1,1,0,0,0,0,0
18.54319282108667,0.0633153587088297,1,0,1,0,1,0,0,0,0,0
17.96218249545417,0.0538396320653988,0,0,0,1,1,0,0,0,0,0
17.304623659588785,0.0617134656412114,0,0,1,0,1,0,0,0,0,0
10.031948963187563,0.0570576598627205,0,1,0,0,1,0,0,0,0,0
24.19628070592669,0.0585522007121495,0,0,1,0,1,0,0,0,0,0
6.911584478250995,0.0576434720640385,0,1,0,0,1,0,0,0,0,0
31.34645115479581,0.0642633261715138,0,0,0,1,1,0,0,0,0,0
32.11744074486633,0.0643106520378453,0,0,0,1,1,0,0,0,0,0
19.06829829848484,0.062678845435556,0,0,0,1,1,0,0,0,0,0
17.414074767267998,0.0559063727495134,0,0,0,1,1,0,0,0,0,0
5.021951811795892,0.0571289902134637,0,1,0,0,1,0,0,0,0,0
35.36566131150384,0.0742741790490902,0,0,0,1,1,0,0,0,0,0
26.889589063427508,0.0594478639731671,0,0,1,0,1,0,0,0,0,0
10.08464178838297,0.0564847420974594,1,0,0,1,1,0,0,0,0,0
8.102468759581862,0.058559054508812,0,1,0,0,1,0,0,0,0,0
21.498139454380706,0.0664197420225357,0,0,0,1,1,0,0,0,0,0
9.394147114027964,0.059477697737178,0,1,0,0,1,0,0,0,0,0
20.888513590009225,0.0621580367982316,0,0,0,1,1,0,0,0,0,0
10.29028668210949,0.0542974953677341,0,0,0,1,1,0,0,0,0,0
24.725088473046966,0.0596108662312764,0,0,0,1,1,0,0,0,0,0
33.315611955958424,0.0750090802388711,0,0,0,1,1,0,0,0,0,0
35.1961645637703,0.0626976007257003,0,0,1,0,1,0,0,0,0,0
31.60284797292801,0.0638900198926132,0,0,0,1,1,0,0,0,0,0
27.577164466275352,0.0705613789205078,1,0,1,0,1,0,0,0,0,0
24.964975465639863,0.0644995153779865,0,0,0,1,1,0,0,0,0,0
5.675385449465086,0.0537942316929281,0,0,0,1,1,0,0,0,0,0
8.612200647918051,0.0587335841852484,0,0,0,1,1,0,0,0,0,0
18.000555546982437,0.064416181780906,0,0,0,1,1,0,0,0,0,0
5.2554733373883655,0.0541463847168089,0,0,0,1,1,0,0,0,0,0
28.139118678451894,0.0601255764625645,0,0,0,1,1,0,0,0,0,0
27.297069439776863,0.0701223907858868,0,0,0,1,1,0,0,0,0,0
29.44978777512667,0.0717079659567098,0,0,0,1,1,0,0,0,0,0
4.661544808322662,0.0570379104697772,1,1,0,0,1,0,0,0,0,0
