distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Right Foot,shot_type_Free Kick,shot_type_Kick Off,shot_type_Open Play,shot_type_Penalty
8.780091115700339,0.057415527576433596,False,True,False,False,False,False,True,False
14.454411091428108,0.06191540686573224,False,False,False,True,False,False,True,False
25.894014752448104,0.06786583372400452,True,False,False,True,True,False,False,False
16.729614460590533,0.06360582516464848,False,False,True,False,False,False,True,False
9.400531899844824,0.05848486456985425,False,True,False,False,False,False,True,False
11.900420160649796,0.05951387036924867,True,False,False,True,False,False,False,True
4.743416490252569,0.05472933224466989,False,False,True,False,False,False,True,False
28.567464010653797,0.05385288963301653,False,False,True,False,False,False,True,False
16.09751533622503,0.06293245453929898,False,False,False,True,False,False,True,False
11.45862120850497,0.059961965675086895,False,True,False,False,False,False,True,False
10.387011119662866,0.05993926887230098,False,True,False,False,False,False,True,False
12.999999999999996,0.06062407128551385,False,False,True,False,False,False,True,False
30.110629352439645,0.055395831252900096,False,False,True,False,False,False,True,False
27.10737906917598,0.07040003620164786,False,False,False,True,False,False,True,False
12.465151423067427,0.055543528837720305,False,True,False,False,False,False,True,False
25.644492586128504,0.05643938854822827,False,False,False,True,False,False,True,False
22.91724241700995,0.05424305147183739,False,False,True,False,False,False,True,False
28.974816651706355,0.07143653531598876,False,False,False,True,False,False,True,False
7.7897368376601746,0.058653312110531194,False,False,True,False,False,False,True,False
59.00008474570185,0.08380483161570336,False,False,False,True,False,True,False,False
28.56851413707055,0.053634806655277804,False,False,True,False,False,False,True,False
23.07899477880265,0.05883763191885281,False,False,True,False,False,False,True,False
4.11096095821889,0.05523810242636533,False,True,False,False,False,False,True,False
31.401433088316207,0.07362531397885763,False,False,False,True,False,False,True,False
27.11180554666177,0.0683782407932849,False,False,False,True,False,False,True,False
27.433191575170394,0.06794773470113853,False,False,True,False,False,False,True,False
24.158849310345886,0.06839934959332171,False,False,False,True,False,False,True,False
30.13187680845652,0.05468267868239679,False,False,True,False,False,False,True,False
11.795761950802502,0.05892642362805568,False,False,False,True,False,False,True,False
12.51598977308627,0.06105582691385502,False,False,False,True,False,False,True,False
13.064838307457157,0.061145341898547124,False,False,True,False,False,False,True,False
28.28780656042458,0.059770403819186364,False,False,False,True,False,False,True,False
15.25942331806809,0.05736584855468579,False,False,False,True,False,False,True,False
10.46518036156091,0.05691937084437538,True,False,True,False,False,False,True,False
9.759098319004679,0.059618202079990135,False,True,False,False,False,False,True,False
11.920570456148479,0.06083010334682546,False,True,False,False,False,False,True,False
22.06173157302029,0.05944922966459783,False,False,False,True,False,False,True,False
26.918580943281544,0.06687581290729275,False,False,False,True,False,False,True,False
6.103277807866848,0.05648424086984236,False,True,False,False,False,False,True,False
25.31896522372113,0.06776591116882559,False,False,False,True,False,False,True,False
69.0046375253142,0.08756911113374038,False,False,False,True,False,False,True,False
8.287339742040269,0.058425272887731104,True,False,False,True,False,False,True,False
