distance,angle,goal,body_part_Head,body_part_Left Foot,body_part_Right Foot,shot_type_Corner,shot_type_Open Play
28.938555596297473,0.05259369755872703,False,False,False,True,False,True
13.395894893585863,0.06106670896507589,False,False,True,False,False,True
37.66974913640918,0.07478725587195312,False,False,False,True,False,True
17.761193653580825,0.06415780142362437,False,False,False,True,False,True
21.875328568960974,0.055190646206523114,False,False,False,True,False,True
23.001956438529312,0.05735799193731016,False,False,True,False,False,True
19.58187937865005,0.06540566147772135,False,False,False,True,False,True
21.1851362988299,0.05540499026061936,False,False,False,True,False,True
10.111874208078344,0.05979268262303255,False,True,False,False,False,True
12.22497443760109,0.0609242549148916,False,False,False,True,False,True
8.62844134244418,0.05842599098156889,False,True,False,False,False,True
25.480973293812777,0.05481838193225335,False,False,False,True,False,True
13.288340754210061,0.05713850520061746,True,False,True,False,False,True
7.217340230306456,0.05747364030453542,False,True,False,False,False,True
39.101150878203065,0.06113038476617489,True,False,False,True,True,False
7.648529270389181,0.05854441199719379,False,True,False,False,False,True
11.314592347937237,0.06049154839863646,False,True,False,False,False,True
33.35386034629275,0.060771118334060716,False,False,False,True,False,True
8.193289937503739,0.05872596084584743,False,False,False,True,False,True
20.806249061279647,0.06247513050243062,False,False,False,True,False,True
12.872451204024822,0.06119784962995253,False,True,False,False,False,True
15.339491516996247,0.05985301781441075,True,False,False,True,False,True
13.18976876218836,0.05839089664033543,False,False,False,True,False,True
11.063905277974857,0.056669842433104016,False,False,True,False,False,True
11.624543001770002,0.05755200755818495,False,False,True,False,False,True
25.489213404889526,0.06709413370231544,False,False,True,False,False,True
26.405491853021783,0.061311970067616635,True,False,False,True,False,True
9.220086767487608,0.05941720017886645,False,True,False,False,False,True
5.679788728465172,0.05429090458283482,False,True,False,False,False,True
11.136426715962346,0.05953109926198789,False,False,True,False,False,True
