distance,angle,goal,body_part_Left Foot,body_part_Other,body_part_Right Foot,shot_type_Free Kick,shot_type_Open Play
23.551220775153045,0.06692059941013426,False,True,False,False,False,True
17.83395637540924,0.053213657214326894,False,False,False,True,False,True
20.824024587000466,0.06050081682100962,False,False,False,True,False,True
18.967867565965342,0.05264519784988141,False,False,False,True,False,True
10.572133181151292,0.05826248405567913,False,False,False,True,False,True
19.51640335717624,0.0632064717850539,True,True,False,False,False,True
20.84058540444582,0.0515844332623714,False,True,False,False,False,True
24.259637260272463,0.06586706124035563,False,False,False,True,False,True
23.12768903284546,0.06731337026922057,False,True,False,False,False,True
20.65453945262396,0.06402324894717341,False,False,False,True,False,True
18.491078930121947,0.05393916925339385,False,True,False,False,False,True
30.139011264472497,0.05403480469440475,False,True,False,False,True,False
12.780062597655776,0.061342781229250444,True,False,False,True,False,True
16.090059042775447,0.06062651175998773,False,False,False,True,False,True
16.72752223134078,0.06252388938077814,False,False,False,True,False,True
10.317460927960912,0.0595343762246785,True,True,False,False,False,True
6.258594091327534,0.057635819542100515,True,False,False,True,False,True
14.400694427700351,0.05991617589420042,False,True,False,False,False,True
15.474172029546528,0.05774790344528223,True,True,False,False,False,True
14.9164338901763,0.06242256867653411,False,False,False,True,False,True
27.19742634882941,0.06156459591953217,False,True,False,False,True,False
30.778239065937484,0.06368653698164763,False,True,False,False,False,True
15.384732691860464,0.052840619860202886,False,False,False,True,False,True
7.057619995437555,0.057841875728428103,False,False,True,False,False,True
13.83220878963298,0.0615094451017346,False,True,False,False,False,True
62.13034685240378,0.07575239503399858,False,True,False,False,False,True
